exported_filename,armLength
armWithHook20,20
armWithHook25,25
armWithHook30,30
armWithHook35,35
armWithHook40,40
armWithHook45,45
armWithHook50,50
armWithHook55,55
armWithHook60,60
armWithHook65,65
armWithHook70,70
armWithHook75,75
armWithHook80,80
armWithHook85,85
armWithHook90,90
armWithHook95,95
armWithHook100,100
armWithHook105,105
armWithHook110,110
armWithHook115,115
armWithHook120,120
armWithHook125,125
armWithHook130,130
armWithHook135,135
armWithHook140,140
armWithHook145,145
armWithHook150,150
armWithHook155,155